aircraft_type,engine_type,issue_date,manufacturer,model,status,tailnum,type,year
Fixed Wing Multi-Engine,Turbo-Fan,"Oct 12, 0099",BOEING,737-824,Valid,N12238,Corporation,"1,999"
Fixed Wing Multi-Engine,Turbo-Jet,"Jul 18, 0006",BOEING,737-3TO,Valid,N12318,Corporation,"1,986"
Fixed Wing Multi-Engine,Turbo-Jet,"Oct 4, 0006",BOEING,737-3TO,Valid,N12349,Corporation,"1,987"
Fixed Wing Multi-Engine,Turbo-Fan,"Jan 10, 0001",EMBRAER,EMB-135LR,Valid,N12519,Corporation,"2,001"
Fixed Wing Multi-Engine,Turbo-Fan,"May 30, 0002",EMBRAER,EMB-145LR,Valid,N12552,Corporation,"2,002"
Fixed Wing Multi-Engine,Turbo-Fan,"Jun 24, 0003",EMBRAER,EMB-145LR,Valid,N12569,Corporation,"2,002"
Fixed Wing Multi-Engine,Turbo-Fan,"Jul 11, 0088",BOEING,767-332,Valid,N127DL,Corporation,"1,988"
Fixed Wing Multi-Engine,Turbo-Fan,"Dec 14, 0001",EMBRAER,EMB-145LR,Valid,N12921,Corporation,"2,000"
Fixed Wing Multi-Engine,Turbo-Jet,"Jul 22, 0098",EMBRAER,EMB-145EP,Valid,N12946,Corporation,"1,998"
Fixed Wing Multi-Engine,Turbo-Fan,"Jul 11, 0088",BOEING,767-332,Valid,N129DL,Corporation,"1,988"
Fixed Wing Multi-Engine,Turbo-Jet,"Apr 12, 0095",BOEING,757-224,Valid,N13113,Corporation,"1,995"
Fixed Wing Multi-Engine,Turbo-Fan,"Apr 9, 0003",EMBRAER,EMB-145XR,Valid,N13132,Corporation,"2,003"
Fixed Wing Multi-Engine,Turbo-Fan,"Nov 19, 0007",BOEING,767-332,Valid,N131DN,Corporation,"1,990"
Fixed Wing Multi-Engine,Turbo-Jet,"Dec 22, 0086",MCDONNELL DOUGLAS,DC-9-31,Valid,N1332U,Corporation,"1,969"
Fixed Wing Multi-Engine,Turbo-Fan,"May 30, 0002",EMBRAER,EMB-145LR,Valid,N13538,Corporation,"2,001"
Fixed Wing Multi-Engine,Turbo-Fan,"Jun 6, 0091",BOEING,767-332,Valid,N135DL,Corporation,"1,991"
Fixed Wing Multi-Engine,Turbo-Jet,"Jan 26, 0099",BOEING,737-724,Valid,N13718,Corporation,"1,999"
Fixed Wing Multi-Engine,Turbo-Fan,"Jan 21, 0092",BOEING,767-332,Valid,N138DL,Corporation,"1,991"
Fixed Wing Multi-Engine,Turbo-Fan,"May 9, 0001",EMBRAER,EMB-145LR,Valid,N13914,Corporation,"2,001"
Fixed Wing Multi-Engine,Turbo-Fan,"Jul 22, 0098",EMBRAER,EMB-145LR,Valid,N13949,Corporation,"1,998"
Fixed Wing Multi-Engine,Turbo-Fan,"Jun 17, 0099",EMBRAER,EMB-145LR,Valid,N13964,Corporation,"1,999"
Fixed Wing Multi-Engine,Turbo-Fan,"Sep 20, 0099",EMBRAER,EMB-145LR,Valid,N13970,Corporation,"1,999"
aircraft_type,engine_type,issue_date,manufacturer,model,status,tailnum,type,year
Fixed Wing Multi-Engine,Turbo-Fan,"Oct 20, 0001",EMBRAER,EMB-145LR,Valid,N13988,Corporation,"2,000"
Fixed Wing Multi-Engine,Turbo-Fan,"Oct 30, 0001",EMBRAER,EMB-145LR,Valid,N13994,Corporation,"2,000"
Fixed Wing Multi-Engine,Turbo-Fan,"Sep 29, 0093",BOEING,767-332,Valid,N1402A,Corporation,"1,993"
Fixed Wing Multi-Engine,Turbo-Jet,"Sep 23, 0094",BOEING,757-224,Valid,N14106,Corporation,"1,994"
Fixed Wing Multi-Engine,Turbo-Fan,"Jun 26, 0003",EMBRAER,EMB-145XR,Valid,N14117,Corporation,"2,002"
Fixed Wing Multi-Engine,Turbo-Fan,"Feb 12, 0003",EMBRAER,EMB-145XR,Valid,N14125,Corporation,"2,003"
Fixed Wing Multi-Engine,Turbo-Fan,"Mar 11, 0004",EMBRAER,EMB-145XR,Valid,N14158,Corporation,"2,004"
Fixed Wing Multi-Engine,Turbo-Fan,"Nov 24, 0004",EMBRAER,EMB-145XR,Valid,N14173,Corporation,"2,004"
Fixed Wing Multi-Engine,Turbo-Fan,"Mar 23, 0005",EMBRAER,EMB-145XR,Valid,N14180,Corporation,"2,005"
Fixed Wing Multi-Engine,Turbo-Fan,"May 22, 0006",EMBRAER,EMB-145XR,Valid,N14203,Corporation,"2,006"
Fixed Wing Multi-Engine,Turbo-Fan,"Jun 17, 0099",BOEING,737-824,Valid,N14230,Corporation,"1,999"
Fixed Wing Multi-Engine,Turbo-Fan,"Jun 2, 0001",BOEING,737-824,Valid,N14250,Corporation,"1,999"
Fixed Wing Multi-Engine,Turbo-Jet,"May 21, 0008",BOEING,737-3TO,Valid,N14325,Corporation,"1,986"
Fixed Wing Multi-Engine,Turbo-Jet,"Apr 17, 0007",BOEING,737-3TO,Valid,N14337,Corporation,"1,987"
Fixed Wing Multi-Engine,Turbo-Jet,"Oct 16, 0087",BOEING,737-3TO,Valid,N14347,Corporation,"1,987"
Fixed Wing Multi-Engine,Turbo-Jet,"Oct 31, 0001",EMBRAER,EMB-135ER,Valid,N14505,Corporation,"1,999"
Fixed Wing Multi-Engine,Turbo-Fan,"Feb 7, 0001",EMBRAER,EMB-135LR,Valid,N14522,Corporation,"2,001"
Fixed Wing Multi-Engine,Turbo-Fan,"Jun 27, 0002",EMBRAER,EMB-145LR,Valid,N14562,Corporation,"2,002"
Fixed Wing Multi-Engine,Turbo-Fan,"Jun 26, 0003",EMBRAER,EMB-145XR,Valid,N18101,Corporation,"2,002"
Fixed Wing Multi-Engine,Turbo-Jet,"May 14, 0097",BOEING,757-224,Valid,N18119,Corporation,"1,997"
Fixed Wing Multi-Engine,Turbo-Jet,"Jun 22, 0005",AIRBUS INDUSTRIE,A321-211,Valid,N181UW,Corporation,"2,011"
Fixed Wing Multi-Engine,Turbo-Fan,"Nov 10, 0092",BOEING,767-332,Valid,N182DN,Corporation,"1,992"
Fixed Wing Multi-Engine,Turbo-Fan,"May 3, 0093",BOEING,767-332,Valid,N183DN,Corporation,"1,993"
Fixed Wing Multi-Engine,Turbo-Fan,"Dec 20, 0004",BOEING,767-332,Valid,N184DN,Corporation,"1,993"
Fixed Wing Multi-Engine,Turbo-Fan,"May 30, 0002",EMBRAER,EMB-145LR,Valid,N18557,Corporation,"2,011"
Fixed Wing Multi-Engine,Turbo-Fan,"Dec 9, 0094",BOEING,737-524,Valid,N18622,Corporation,"1,994"
Fixed Wing Multi-Engine,Turbo-Fan,"Jun 20, 0096",BOEING,767-332,Valid,N187DN,Corporation,"1,996"
Fixed Wing Multi-Engine,Turbo-Fan,"Oct 18, 0096",BOEING,767-332,Valid,N188DN,Corporation,"1,996"
aircraft_type,engine_type,issue_date,manufacturer,model,status,tailnum,type,year
Fixed Wing Multi-Engine,Turbo-Jet,"Feb 8, 0001",AIRBUS INDUSTRIE,A321-211,Valid,N189UW,Corporation,"2,001"
Fixed Wing Multi-Engine,Turbo-Jet,"Apr 25, 0096",BOEING,757-224,Valid,N19117,Corporation,"1,996"
Fixed Wing Multi-Engine,Turbo-Fan,"Apr 10, 0097",BOEING,767-332,Valid,N191DN,Corporation,"1,997"
Fixed Wing Multi-Engine,Turbo-Jet,"May 22, 0001",AIRBUS INDUSTRIE,A321-211,Valid,N192UW,Corporation,"2,001"
Fixed Wing Multi-Engine,Turbo-Fan,"Oct 2, 0097",BOEING,767-332,Valid,N194DN,Corporation,"1,997"
